location,n_peak,peak_magnitude_norm,cluster_fd_km,cluster_fd_agg,cluster_fd_jenks,cluster_sturges_jenks,cluster_scott_jenks,mask_use,mobility,vaccination_1_dose,vaccination_full,reproduction_rate,new_tests,positive_rate,tests_per_case,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
Afghanistan,1.0,0.174041504933174,8.0,32.0,1.0,1.0,1.0,44.98,-21.0,0.0,0.0,1.14,11847.0,85.3848,9.966666666666667,84.26,54422.0,18.6,2581.0,1337.0,1803987.0,40.166666666666664,597029.0,9.59,0.7999999999999999,13.633333333333333,37746.0,64.83,511.0
Afghanistan,2.0,0.0551973718051663,8.0,32.0,1.0,1.0,1.0,35.15,12.0,0.0,0.0,1.09,11847.0,85.3848,9.966666666666667,12.04,54422.0,18.6,2581.0,1337.0,1803987.0,40.166666666666664,597029.0,9.59,0.7999999999999999,13.633333333333333,37746.0,64.83,511.0
Afghanistan,3.0,0.432186525641309,29.0,13.0,2.0,1.0,1.0,42.98,2.0,569954.0,182950.0,1.12,11847.0,85.53296666666667,6.5,46.3,54422.0,18.6,2581.0,1337.0,1803987.0,42.13333333333333,597029.0,9.59,0.9666666666666668,22.46666666666667,37746.0,64.83,511.0
Afghanistan,4.0,0.0170358815239487,8.0,32.0,1.0,1.0,1.0,29.93,41.0,5634177.0,4915547.0,1.27,20474.333333333332,0.2312666666666667,8.633333333333335,11.11,54422.0,18.6,2581.0,1337.0,1803987.0,21.7,597029.0,9.59,6.2,27.13333333333333,37746.0,64.83,511.0
Albania,1.0,2.66332657583054,22.0,7.0,5.0,2.0,3.0,60.91,-30.0,0.0,0.0,1.05,1963.0,0.4091,2.4,65.74,104871.0,38.0,13188.0,8643.0,11803431.0,1.1,304195.0,10.08,7.1,51.2,79440.33333333333,78.57,795.0
Albania,2.0,3.67907421150698,12.0,17.0,7.0,2.0,3.0,54.94,-30.0,789.0,481.0,1.08,4092.0,0.3109,3.2,60.19,104871.0,38.0,13188.0,8643.0,11803431.0,1.1,304195.0,10.08,7.1,51.2,79440.33333333333,78.57,795.0
Albania,3.0,2.99893909056058,22.0,28.0,6.0,2.0,3.0,23.22,6.0,881514.0,687854.0,1.12,6732.0,0.1482,6.7,41.67,104871.0,38.0,13188.0,8643.0,11803431.0,1.1,304195.0,10.08,7.1,51.2,97164.0,78.57,795.0
Albania,4.0,6.75468202741379,6.0,2.0,11.0,3.0,4.0,28.95,-14.0,1193682.0,1081283.0,1.36,4024.0,0.2812,3.6,43.52,104871.0,38.0,13188.0,8643.0,11803431.0,1.1,304195.0,10.08,7.1,51.2,89208.66666666667,78.57,795.0
Algeria,1.0,0.133393818058729,8.0,32.0,1.0,1.0,1.0,46.57,-21.0,0.0,0.0,1.09,32110.0,290.6937666666667,5.833333333333333,74.07,17348.0,29.1,6211.0,3857.0,13913839.0,0.5,278364.0,6.73,0.7,30.4,83741.0,76.88,748.0
Algeria,2.0,0.227155628925674,8.0,13.0,1.0,1.0,1.0,46.8,-15.0,0.0,0.0,1.17,32110.0,290.6937666666667,5.833333333333333,72.22,17348.0,29.1,6211.0,3857.0,13913839.0,0.5,278364.0,6.73,0.7,30.4,83741.0,76.88,748.0
