index,n_pico,location,peak_date,peak_magnitude,mask_use,mobility,vaccination_1_dose,vaccination_full,iso_code,continent,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
0,1,Afghanistan,2020-06-04,693.301783877709,44.98,-21,,,AFG,Asia,17977,696429,303,9143,451282,15664,17483,7606,126,0.23,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428,54422,18.6,2581,1337,1803987,,597029,9.59,,,37746,0.5,64.83,511,,,,
3,4,Afghanistan,2020-12-02,219.881093033393,35.15,12,0,0,AFG,Asia,46717,205571,1795,11857,1172.75,5498,5161,45.06,527,298,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04,39835428,54422,18.6,2581,1337,1803987,,597029,9.59,,,37746,0.5,64.83,511,,,,
4,5,Afghanistan,2021-06-21,1721.63352247545,42.98,2,569954,182950,AFG,Asia,103902,1777714,4215,86143,2608281,50106,44626,105.81,2335,2162,1.12,,,,,,,,,,,,,,,,,,,,,,,12986,,,,,326,12174,31,46.3,39835428,54422,18.6,2581,1337,1803987,,597029,9.59,,,37746,0.5,64.83,511,,,,
11,12,Afghanistan,2022-05-29,67.8631631863788,29.93,41,5634177,4915547,AFG,Asia,180174,65429,7701,429,4522959,1305,1642,193.32,0,11,1.27,,,,,,,,,,,,,,,,,,,,,,,5985,,,,,150,5559,14,11.11,39835428,54422,18.6,2581,1337,1803987,,597029,9.59,,,37746,0.5,64.83,511,,,,
25,5,Albania,2020-12-07,765.156147280713,60.91,-30,0,0,ALB,Europe,43683,785857,922,16,15205013,241913,273538,320926,5917,5569,1.05,,,,,,,,,190587,1963,66339,683,1921,669,0.4091,2.4,tests performed,,,,,,,,,,,,,,65.74,2872934,104871,38,13188,8643,11803431,1.1,304195,10.08,7.1,51.2,,2.89,78.57,795,,,,
26,6,Albania,2021-02-11,1056.97373907616,54.94,-30,789,481,ALB,Europe,89776,1111857,1517,14143,31248891,384624,387011,528032,4873,4923,1.08,,,,,,,,,382779,4092,133236,1424,3576,1245,0.3109,3.2,tests performed,,,,,,79,,,,,27,29,1,60.19,2872934,104871,38,13188,8643,11803431,1.1,304195,10.08,7.1,51.2,,2.89,78.57,795,,,,
27,7,Albania,2021-09-08,861.575407720058,23.22,6,881514,687854,ALB,Europe,153318,849857,2528,3857,53366.35,375574,295815,879937,1.74,1343,1.12,,,,,,,,,1059234,6732,368694,2343,5735,1996,0.1482,6.7,tests performed,1567313,879459,687854,,13687,11723,54.55,30.61,23.94,,4080,6121,213,41.67,2872934,104871,38,13188,8643,11803431,1.1,304195,10.08,7.1,51.2,,2.89,78.57,795,,,,
29,9,Albania,2022-01-17,1940.5755655746,28.95,-14,1193682,1081283,ALB,Europe,233654,1881,3271,4286,81329401,353994,654731,1138557,696,1492,1.36,,,,,,,,,1513915,4024,526958,1401,6690,2329,0.2812,3.6,tests performed,,,,,,5976,,,,,2080,1674,58,43.52,2872934,104871,38,13188,8643,11803431,1.1,304195,10.08,7.1,51.2,,2.89,78.57,795,,,,
36,3,Algeria,2020-07-25,595.158209103835,46.57,-21,,,DZA,Africa,26764,602143,1146,11143,599866,13.56,13496,25685,224,0.25,1.09,63,1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,44616626,17348,29.1,6211,3857,13913839,0.5,278364,6.73,0.7,30.4,83741,1.9,76.88,748,,,,
37,4,Algeria,2020-11-23,1013.49177395716,46.8,-15,,,DZA,Africa,75867,1039714,2294,18,1700.42,22525,23303,51416,493,403,1.17,46,1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,44616626,17348,29.1,6211,3857,13913839,0.5,278364,6.73,0.7,30.4,83741,1.9,76.88,748,,,,
40,7,Algeria,2021-07-28,1380.83626720159,49.51,4,3002594,642284,DZA,Africa,167131,1446571,4161,23857,3745935,43.19,32422,93261,1098,535,1.2,36,807,,,,,,,,,,,,,,,,,,,,,22369,,,,,501,18386,41,49.07,44616626,17348,29.1,6211,3857,13913839,0.5,278364,6.73,0.7,30.4,83741,1.9,76.88,748,,,,
41,8,Algeria,2022-01-25,1715.50898010183,42.17,12,7335244,5906889,DZA,Africa,241406,1978143,6516,11571,5410674,56504,44336,146044,179,259,1.57,44,986,,,,,,,,,,,,,,,,,,,,,16222,,,,,364,5204,12,65.74,44616626,17348,29.1,6211,3857,13913839,0.5,278364,6.73,0.7,30.4,83741,1.9,76.88,748,,,,
46,3,Andorra,2020-10-23,95.9232001243408,57.47,-23,,,AND,Europe,4038,94429,69,1429,52201567,2934561,1220733,892003,77565,18468,1.23,,,,,,,,,,,,,1162,15022,0.0813,12.3,tests performed,,,,,,,,,,,,,,59.26,77354,163755,,,,,,109135,7.97,29,37.8,,,83.73,868,,,,
