index,n_pico,location,peak_date,peak_magnitude,peak_magnitude_norm,bins_fd,bins_sturges,bins_scott,mask_use,mobility,vaccination_1_dose,vaccination_full,iso_code,continent,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
0,1,Afghanistan,2020-06-04,693.301783877709,0.174041504933174,1,1,1,44.98,-21.0,,,AFG,Asia,17977,696429,303,9143,451282.0,15664.0,17483.0,7606.0,126.0,0.23,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428,54422.0,18.6,2581.0,1337.0,1803987.0,,597029.0,9.59,,,37746.0,0.5,64.83,511.0,,,,
3,4,Afghanistan,2020-12-02,219.881093033393,0.0551973718051663,1,1,1,35.15,12.0,0.0,0.0,AFG,Asia,46717,205571,1795,11857,1172.75,5498.0,5161.0,45.06,527.0,298.0,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04,39835428,54422.0,18.6,2581.0,1337.0,1803987.0,,597029.0,9.59,,,37746.0,0.5,64.83,511.0,,,,
4,5,Afghanistan,2021-06-21,1721.63352247545,0.432186525641309,2,1,1,42.98,2.0,569954.0,182950.0,AFG,Asia,103902,1777714,4215,86143,2608281.0,50106.0,44626.0,105.81,2335.0,2162.0,1.12,,,,,,,,,,,,,,,,,,,,,,,12986.0,,,,,326.0,12174.0,31.0,46.3,39835428,54422.0,18.6,2581.0,1337.0,1803987.0,,597029.0,9.59,,,37746.0,0.5,64.83,511.0,,,,
11,12,Afghanistan,2022-05-29,67.8631631863788,0.0170358815239487,1,1,1,29.93,41.0,5634177.0,4915547.0,AFG,Asia,180174,65429,7701,429,4522959.0,1305.0,1642.0,193.32,0.0,11.0,1.27,,,,,,,,,,,,,,,,,,,,,,,5985.0,,,,,150.0,5559.0,14.0,11.11,39835428,54422.0,18.6,2581.0,1337.0,1803987.0,,597029.0,9.59,,,37746.0,0.5,64.83,511.0,,,,
25,5,Albania,2020-12-07,765.156147280713,2.66332657583054,5,2,3,60.91,-30.0,0.0,0.0,ALB,Europe,43683,785857,922,16,15205013.0,241913.0,273538.0,320926.0,5917.0,5569.0,1.05,,,,,,,,,190587.0,1963.0,66339.0,683.0,1921.0,669.0,0.4091,2.4,tests performed,,,,,,,,,,,,,,65.74,2872934,104871.0,38.0,13188.0,8643.0,11803431.0,1.1,304195.0,10.08,7.1,51.2,,2.89,78.57,795.0,,,,
26,6,Albania,2021-02-11,1056.97373907616,3.67907421150698,7,2,3,54.94,-30.0,789.0,481.0,ALB,Europe,89776,1111857,1517,14143,31248891.0,384624.0,387011.0,528032.0,4873.0,4923.0,1.08,,,,,,,,,382779.0,4092.0,133236.0,1424.0,3576.0,1245.0,0.3109,3.2,tests performed,,,,,,79.0,,,,,27.0,29.0,1.0,60.19,2872934,104871.0,38.0,13188.0,8643.0,11803431.0,1.1,304195.0,10.08,7.1,51.2,,2.89,78.57,795.0,,,,
27,7,Albania,2021-09-08,861.575407720058,2.99893909056058,6,2,3,23.22,6.0,881514.0,687854.0,ALB,Europe,153318,849857,2528,3857,53366.35,375574.0,295815.0,879937.0,1.74,1343.0,1.12,,,,,,,,,1059234.0,6732.0,368694.0,2343.0,5735.0,1996.0,0.1482,6.7,tests performed,1567313.0,879459.0,687854.0,,13687.0,11723.0,54.55,30.61,23.94,,4080.0,6121.0,213.0,41.67,2872934,104871.0,38.0,13188.0,8643.0,11803431.0,1.1,304195.0,10.08,7.1,51.2,,2.89,78.57,795.0,,,,
29,9,Albania,2022-01-17,1940.5755655746,6.75468202741379,11,3,4,28.95,-14.0,1193682.0,1081283.0,ALB,Europe,233654,1881,3271,4286,81329401.0,353994.0,654731.0,1138557.0,696.0,1492.0,1.36,,,,,,,,,1513915.0,4024.0,526958.0,1401.0,6690.0,2329.0,0.2812,3.6,tests performed,,,,,,5976.0,,,,,2080.0,1674.0,58.0,43.52,2872934,104871.0,38.0,13188.0,8643.0,11803431.0,1.1,304195.0,10.08,7.1,51.2,,2.89,78.57,795.0,,,,
36,3,Algeria,2020-07-25,595.158209103835,0.133393818058729,1,1,1,46.57,-21.0,,,DZA,Africa,26764,602143,1146,11143,599866.0,13.56,13496.0,25685.0,224.0,0.25,1.09,63.0,1412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,44616626,17348.0,29.1,6211.0,3857.0,13913839.0,0.5,278364.0,6.73,0.7,30.4,83741.0,1.9,76.88,748.0,,,,
37,4,Algeria,2020-11-23,1013.49177395716,0.227155628925674,1,1,1,46.8,-15.0,,,DZA,Africa,75867,1039714,2294,18,1700.42,22525.0,23303.0,51416.0,493.0,403.0,1.17,46.0,1031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,44616626,17348.0,29.1,6211.0,3857.0,13913839.0,0.5,278364.0,6.73,0.7,30.4,83741.0,1.9,76.88,748.0,,,,
