n_pico,location,peak_magnitude,mask_use,mobility,vaccination_1_dose,vaccination_full,reproduction_rate,hosp_patients,total_tests,new_tests,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
1,Afghanistan,693.301783877709,44.98,-21.0,,,1.14,,,,,,84.26,39835428,54422.0,18.6,2581.0,1337.0,1803987.0,,597029.0,9.59,,,37746.0,64.83,511.0
4,Afghanistan,219.881093033393,35.15,12.0,0.0,0.0,1.09,,,,,,12.04,39835428,54422.0,18.6,2581.0,1337.0,1803987.0,,597029.0,9.59,,,37746.0,64.83,511.0
5,Afghanistan,1721.63352247545,42.98,2.0,569954.0,182950.0,1.12,,,,,,46.3,39835428,54422.0,18.6,2581.0,1337.0,1803987.0,,597029.0,9.59,,,37746.0,64.83,511.0
12,Afghanistan,67.8631631863788,29.93,41.0,5634177.0,4915547.0,1.27,,,,,,11.11,39835428,54422.0,18.6,2581.0,1337.0,1803987.0,,597029.0,9.59,,,37746.0,64.83,511.0
5,Albania,765.156147280713,60.91,-30.0,0.0,0.0,1.05,,190587.0,1963.0,0.4091,2.4,65.74,2872934,104871.0,38.0,13188.0,8643.0,11803431.0,1.1,304195.0,10.08,7.1,51.2,,78.57,795.0
6,Albania,1056.97373907616,54.94,-30.0,789.0,481.0,1.08,,382779.0,4092.0,0.3109,3.2,60.19,2872934,104871.0,38.0,13188.0,8643.0,11803431.0,1.1,304195.0,10.08,7.1,51.2,,78.57,795.0
7,Albania,861.575407720058,23.22,6.0,881514.0,687854.0,1.12,,1059234.0,6732.0,0.1482,6.7,41.67,2872934,104871.0,38.0,13188.0,8643.0,11803431.0,1.1,304195.0,10.08,7.1,51.2,,78.57,795.0
9,Albania,1940.5755655746,28.95,-14.0,1193682.0,1081283.0,1.36,,1513915.0,4024.0,0.2812,3.6,43.52,2872934,104871.0,38.0,13188.0,8643.0,11803431.0,1.1,304195.0,10.08,7.1,51.2,,78.57,795.0
3,Algeria,595.158209103835,46.57,-21.0,,,1.09,,,,,,74.07,44616626,17348.0,29.1,6211.0,3857.0,13913839.0,0.5,278364.0,6.73,0.7,30.4,83741.0,76.88,748.0
4,Algeria,1013.49177395716,46.8,-15.0,,,1.17,,,,,,72.22,44616626,17348.0,29.1,6211.0,3857.0,13913839.0,0.5,278364.0,6.73,0.7,30.4,83741.0,76.88,748.0
7,Algeria,1380.83626720159,49.51,4.0,3002594.0,642284.0,1.2,,,,,,49.07,44616626,17348.0,29.1,6211.0,3857.0,13913839.0,0.5,278364.0,6.73,0.7,30.4,83741.0,76.88,748.0
8,Algeria,1715.50898010183,42.17,12.0,7335244.0,5906889.0,1.57,,,,,,65.74,44616626,17348.0,29.1,6211.0,3857.0,13913839.0,0.5,278364.0,6.73,0.7,30.4,83741.0,76.88,748.0
3,Andorra,95.9232001243408,57.47,-23.0,,,1.23,,,,0.0813,12.3,59.26,77354,163755.0,,,,,,109135.0,7.97,29.0,37.8,,83.73,868.0
10,Andorra,423.892022638769,49.61,-23.0,57602.0,52573.0,1.14,,281100.0,,583.0,1.7,44.44,77354,163755.0,,,,,,109135.0,7.97,29.0,37.8,,83.73,868.0
15,Andorra,62.0458992426625,39.7,-7.0,57968.0,54490.0,0.58,,,,,,8.33,77354,163755.0,,,,,,109135.0,7.97,29.0,37.8,,83.73,868.0
5,Angola,239.67526650096,78.38,-13.0,,,1.11,,,,,,65.74,33933611,23.89,16.8,2405.0,1362.0,5819495.0,,276045.0,3.94,,,26664.0,61.15,581.0
9,Angola,270.195614558074,80.01,2.0,614519.0,92327.0,1.05,,,,,,33.33,33933611,23.89,16.8,2405.0,1362.0,5819495.0,,276045.0,3.94,,,26664.0,61.15,581.0
