location,n_pico,peak_date,peak_magnitude,mask_use,mobility,vaccination_1_dose,vaccination_full,iso_code,continent,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
Afghanistan,2,2020-07-10,"21,34257349","34,2",-10,,,AFG,Asia,34280,"267,143",975,"21,714","860,541","13,581","6,706","24,476","0,854","0,545","0,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78,7",39835428,"54,422","18,6","2,581","1,337","1803,987",,"597,029","9,59",,,"37,746","0,5","64,83","0,511",,,,
Afghanistan,5,2020-12-06,"14,47907881","33,32",12,0,0,AFG,Asia,47641,"239,286",1865,"16,143","1195,945","6,351","6,007","46,818","0,452","0,405","1,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,04",39835428,"54,422","18,6","2,581","1,337","1803,987",,"597,029","9,59",,,"37,746","0,5","64,83","0,511",,,,
Afghanistan,9,2021-06-22,"79,72856548","42,98",1,582128,183762,AFG,Asia,105749,"1782,429",4293,"87,143","2654,647","46,366","44,745","107,768","1,958","2,188","1,1",,,,,,,,,,,,,,,,,,765890,582128,183762,,,12986,"1,92","1,46","0,46",,326,12174,"0,031","46,3",39835428,"54,422","18,6","2,581","1,337","1803,987",,"597,029","9,59",,,"37,746","0,5","64,83","0,511",,,,
Albania,5,2020-08-03,"4,266454818","28,23",-12,,,ALB,Europe,5620,"105,714",172,4,"1956,188","35,156","36,797","59,869","2,088","1,392","1,12",,,,,,,,,38381,474,"13,36","0,165",496,"0,173","0,2131","4,7",tests performed,,,,,,,,,,,,,,"62,96",2872934,"104,871",38,"13,188","8,643","11803,431","1,1","304,195","10,08","7,1","51,2",,"2,89","78,57","0,795",,,,
Albania,7,2020-12-04,"14,69555931","61,27",-30,0,0,ALB,Europe,41302,"722,429",870,"14,143","14376,244","278,809","251,46","302,826","6,265","4,923","1,07",,,,,,,,,184710,1915,"64,293","0,667",1865,"0,649","0,3874","2,6",tests performed,,,,,,,,,,,,,,"65,74",2872934,"104,871",38,"13,188","8,643","11803,431","1,1","304,195","10,08","7,1","51,2",,"2,89","78,57","0,795",,,,
Albania,8,2021-03-02,"18,97416164","54,03",-24,15044,14141,ALB,Europe,108823,931,1835,"19,857","37878,698","310,484","324,059","638,72","6,613","6,912","0,9",,,,,,,,,450532,3369,"156,819","1,173",3589,"1,249","0,2594","3,9",tests performed,,,,,,1026,,,,,357,5575,"0,194","60,19",2872934,"104,871",38,"13,188","8,643","11803,431","1,1","304,195","10,08","7,1","51,2",,"2,89","78,57","0,795",,,,
Albania,9,2021-09-28,"9,490184483","19,57",1,943473,782578,ALB,Europe,168782,"643,714",2668,"10,571",58749,"206,757","224,062","928,667","5,221","3,68","0,87",,,,,,,,,1153676,4625,"401,567","1,61",4180,"1,455","0,154","6,5",tests performed,1723996,941418,782578,,8863,8344,"60,01","32,77","27,24",,2904,2521,"0,088","41,67",2872934,"104,871",38,"13,188","8,643","11803,431","1,1","304,195","10,08","7,1","51,2",,"2,89","78,57","0,795",,,,
Albania,12,2022-02-01,"5,558910707","23,26",-13,1252727,1156751,ALB,Europe,258543,"1383,429",3346,"4,857","89992,67",0,"481,539","1164,663",0,"1,691","0,85",,,,,,,,,,,,,2281,"0,794","0,6065","1,6",tests performed,2612804,1250672,1156751,205381,,16639,"90,95","43,53","40,26","7,15",5792,6816,"0,237","61,11",2872934,"104,871",38,"13,188","8,643","11803,431","1,1","304,195","10,08","7,1","51,2",,"2,89","78,57","0,795",,,,
Algeria,1,2020-04-08,"18,00318138","23,16",-54,,,DZA,Africa,1572,"103,571",205,21,"35,234","2,331","2,321","4,595","0,269","0,471","1,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86,57",44616626,"17,348","29,1","6,211","3,857","13913,839","0,5","278,364","6,73","0,7","30,4","83,741","1,9","76,88","0,748",,,,
Algeria,5,2020-11-25,"18,06363359","47,46",-14,,,DZA,Africa,78025,"1056,571",2329,"17,571","1748,788","22,973","23,681","52,2","0,448","0,394","1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,22",44616626,"17,348","29,1","6,211","3,857","13913,839","0,5","278,364","6,73","0,7","30,4","83,741","1,9","76,88","0,748",,,,
Algeria,8,2021-08-07,"35,5402268","58,7",5,3186456,678166,DZA,Africa,180356,"1280,571",4520,38,"4042,35","25,551","28,702","101,308","0,74","0,852","0,88",52,"1,165",,,,,,,,,,,,,,,,,,,,,22369,,,,,501,18386,"0,041","49,07",44616626,"17,348","29,1","6,211","3,857","13913,839","0,5","278,364","6,73","0,7","30,4","83,741","1,9","76,88","0,748",,,,
Algeria,12,2022-01-25,"11,17614866","42,17",12,7335244,5906889,DZA,Africa,241406,"1978,143",6516,"11,571","5410,674","56,504","44,336","146,044","0,179","0,259","1,57",44,"0,986",,,,,,,,,,,,,,,,,,,,,16222,,,,,364,5204,"0,012","65,74",44616626,"17,348","29,1","6,211","3,857","13913,839","0,5","278,364","6,73","0,7","30,4","83,741","1,9","76,88","0,748",,,,
Andorra,1,2020-04-03,"1,496153813","41,11",-63,,,AND,Europe,439,"24,571",16,"1,857","5675,207","142,203","317,649","206,841","12,928","24,008","0,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,15",77354,"163,755",,,,,,"109,135","7,97",29,"37,8",,,"83,73","0,868",,,,
Andorra,4,2020-10-23,"1,035948335","57,47",-23,,,AND,Europe,4038,"94,429",69,"1,429","52201,567","2934,561","1220,733","892,003","77,565","18,468","1,23",,,,,,,,,,,,,1162,"15,022","0,0813","12,3",tests performed,,,,,,,,,,,,,,"59,26",77354,"163,755",,,,,,"109,135","7,97",29,"37,8",,,"83,73","0,868",,,,
Andorra,7,2021-01-22,"0,7729359608","54,14",-42,0,0,AND,Europe,9416,"67,143",93,"0,714","121726,09","478,32","867,995","1202,265",0,"9,234","1,01",,,,,,,,,,,,,747,"9,657","0,0899","11,1",tests performed,,,,,,,,,,,,,,"52,78",77354,"163,755",,,,,,"109,135","7,97",29,"37,8",,,"83,73","0,868",,,,
Angola,5,2020-10-04,"3,477409194","75,91",-12,,,AGO,Africa,5402,"97,714",195,3,"159,193","0,943","2,88","5,747","0,059","0,088","1,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,33933611,"23,89","16,8","2,405","1,362","5819,495",,"276,045","3,94",,,"26,664",,"61,15","0,581",,,,
