location,n_peak,peak_magnitude_norm,hosp_patients_norm,icu_patients_norm,total_tests_norm,new_tests_norm,total_cases_norm,mask_use,mobility,vaccination_1_dose,vaccination_full,reproduction_rate,positive_rate,tests_per_case,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
Afghanistan,1,0.005357686502075489,,,,,8.605405218691262,34.2,-10.0,,,0.78,,,78.7,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,64.83,0.511
Afghanistan,2,0.0036347240476492433,,,,,11.95945478482119,33.32,12.0,0.0,0.0,1.05,,,12.04,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,64.83,0.511
Afghanistan,3,0.020014486973756126,,,,,26.54647014210567,42.98,1.0,582128.0,183762.0,1.1,,,46.3,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,64.83,0.511
Albania,1,0.014850514554110883,,,0.13359513305909568,0.16498812712021926,19.56188342649013,28.23,-12.0,,,1.12,0.2131,4.7,62.96,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,78.57,0.795
Albania,2,0.051151746994535896,,,0.6429315814425253,0.6665659566143879,143.7624393738248,61.27,-30.0,0.0,0.0,1.07,0.3874,2.6,65.74,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,78.57,0.795
Albania,3,0.0660445441489432,,,1.5681947444668065,1.172668776936748,378.78698222792445,54.03,-24.0,15044.0,14141.0,0.9,0.2594,3.9,60.19,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,78.57,0.795
Albania,4,0.0330330751872476,,,4.015671783619116,1.609852506183574,587.4900015106508,19.57,1.0,943473.0,782578.0,0.87,0.154,6.5,41.67,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,78.57,0.795
Albania,5,0.019349246126085736,,,,,899.9266951485833,23.26,-13.0,1252727.0,1156751.0,0.85,0.6065,1.6,61.11,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,78.57,0.795
Algeria,1,0.004035083553830359,,,,,0.35233502416789647,23.16,-54.0,,,1.09,,,86.57,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,76.88,0.748
Algeria,2,0.0040486328101098455,,,,,17.48787548390593,47.46,-14.0,,,1.1,,,72.22,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,76.88,0.748
Algeria,3,0.007965691264955804,,0.011654848127691233,,,40.423495940728465,58.7,5.0,3186456.0,678166.0,0.88,,,49.07,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,76.88,0.748
Algeria,4,0.0025049291400923057,,0.00986179456958489,,,54.106735906027495,42.17,12.0,7335244.0,5906889.0,1.57,,,65.74,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,76.88,0.748
Andorra,1,0.19341647658815317,,,,,56.75207487654162,41.11,-63.0,,,0.95,,,48.15,163.755,,,,,,109.135,7.97,29.0,37.8,,83.73,0.868
