1,2,3,4,5,6,7,8,9,10
Afghanistan - peak Nº1,Albania - peak Nº1,Albania - peak Nº4,Andorra - peak Nº1,Austria - peak Nº3,Argentina - peak Nº4,Czechia - peak Nº5,Bahrain - peak Nº3,Andorra - peak Nº2,Denmark - peak Nº2
Afghanistan - peak Nº2,Albania - peak Nº2,Andorra - peak Nº3,Armenia - peak Nº5,Bahrain - peak Nº2,Barbados - peak Nº3,Germany - peak Nº3,Cyprus - peak Nº3,Austria - peak Nº4,
Afghanistan - peak Nº3,Albania - peak Nº3,Argentina - peak Nº3,Bahamas - peak Nº4,Barbados - peak Nº4,Croatia - peak Nº4,Greece - peak Nº1,,Cyprus - peak Nº4,
Afghanistan - peak Nº4,Argentina - peak Nº1,Armenia - peak Nº2,Barbados - peak Nº2,Belize - peak Nº3,France - peak Nº3,Italy - peak Nº2,,Estonia - peak Nº3,
Algeria - peak Nº1,Argentina - peak Nº2,Armenia - peak Nº4,Belgium - peak Nº1,Cape Verde - peak Nº3,United Kingdom - peak Nº2,Spain - peak Nº2,,France - peak Nº2,
Algeria - peak Nº2,Armenia - peak Nº1,Austria - peak Nº1,Botswana - peak Nº2,Chile - peak Nº3,United States - peak Nº2,Uruguay - peak Nº2,,Georgia - peak Nº4,
Algeria - peak Nº3,Armenia - peak Nº3,Azerbaijan - peak Nº6,Bulgaria - peak Nº4,Czechia - peak Nº4,,,,Latvia - peak Nº1,
Algeria - peak Nº4,Austria - peak Nº2,Belarus - peak Nº3,Canada - peak Nº4,Finland - peak Nº1,,,,Netherlands - peak Nº1,
Angola - peak Nº1,Azerbaijan - peak Nº2,Belgium - peak Nº2,Costa Rica - peak Nº2,Jordan - peak Nº3,,,,,
Angola - peak Nº2,Azerbaijan - peak Nº3,Belize - peak Nº1,Croatia - peak Nº3,,,,,,
Angola - peak Nº3,Azerbaijan - peak Nº4,Belize - peak Nº2,Cyprus - peak Nº2,,,,,,
Angola - peak Nº4,Azerbaijan - peak Nº5,Bolivia - peak Nº4,Czechia - peak Nº1,,,,,,
Argentina - peak Nº5,Bahamas - peak Nº1,Bosnia and Herzegovina - peak Nº3,Czechia - peak Nº2,,,,,,
Azerbaijan - peak Nº1,Bahamas - peak Nº3,Botswana - peak Nº1,Czechia - peak Nº3,,,,,,
Bahamas - peak Nº2,Bahrain - peak Nº1,Brazil - peak Nº3,Estonia - peak Nº1,,,,,,
Bahamas - peak Nº5,Barbados - peak Nº1,Bulgaria - peak Nº2,Estonia - peak Nº2,,,,,,
Bangladesh - peak Nº1,Belarus - peak Nº1,Bulgaria - peak Nº3,Fiji - peak Nº1,,,,,,
Bangladesh - peak Nº2,Belarus - peak Nº2,Cape Verde - peak Nº2,Georgia - peak Nº1,,,,,,
Bangladesh - peak Nº3,Bolivia - peak Nº3,Colombia - peak Nº2,Georgia - peak Nº2,,,,,,
Bangladesh - peak Nº4,Bosnia and Herzegovina - peak Nº1,Colombia - peak Nº3,Georgia - peak Nº3,,,,,,
